dataset_id	module	activation_status	adc_decision_axis	activation_rule	activation_context	default_execution_order	reason
GSE235917	NONE	SUPPLEMENT_FROZEN	none	after_shortlist_named_uncertainty	NA	NA	Reclassified 2026-08-21 (PR #71 review) out of Module C: this MEDITREME scRNA-seq series is PBMC/tumor-infiltrating-lymphocyte (immune-cell) data, confirmed by its own verified source_manifest.tsv and official GEO record -- it cannot support a malignant-epithelial tumor-cell-localization claim, which is what it was previously (incorrectly) registered for. Not on any default analysis path; activate only for a specific target's immune/TME expression-liability question.
PXD055821	D	CORE_ACTIVE	protein_endpoint	every_target	ANY	1	152 human CRLM mass-spec proteomics + outcome; reported target-level protein information. Phase 1 source-verified 2026-08-21 (see reports/P0_SOURCE_VERIFICATION.md); status stays CANDIDATE.
PXD022613	D	CORE_ACTIVE	protein_endpoint	every_target	ANY	2	CRLM proteomics, resection-to-recurrence <12 vs >12 months (poor/good prognosis). Phase 1 source-verified 2026-08-21 (see reports/P0_SOURCE_VERIFICATION.md); status stays CANDIDATE. Investigated 2026-08-25 (Module D first pass) and deprioritized in practice, not reclassified: only processed asset is a single 867MB RAR archive on PRIDE with no partial-extraction path over HTTP (RAR has no central directory), and the project's own published supplementary "significantly expressed proteins" table (99 proteins) does not include any of the five A_CLINICAL targets. Revisit only if a future environment permits the ~900MB download or a processed table becomes available another way.
MCRC_liver_metastasis_PDO_2026	D	CORE_ACTIVE	protein_endpoint	every_target	ANY	3	mCRC PDO 2026 (213 PDOs / 102 patients): RNA-protein calibration, patient/lesion heterogeneity, X-high vs drug DSS. Registry status is CANDIDATE, with an existing file_inventory + sample-level fields (further along than most other candidates in this table). mIHC panel covers only 14 markers -- before activating protein analysis for a given target, first check target_observable coverage against that panel; do not assume RNA->protein calibration is available for an arbitrary target.
PXD038149	D	CORE_CONTEXT	protein_endpoint	after_shortlist_named_uncertainty	ANY	4	Advanced/heavily pretreated CRC PDO proteomics+transcriptomics+drug response; orthogonal proteotranscriptomic support once a target has a shortlist candidate.
HPA_CRC_cancer_tissue	D	CORE_SUPPORT	protein_endpoint	every_target	ANY	5	HPA colorectal cancer tumor IHC + CPTAC-MS layer, distinct from HPA_normal_tissue (Module E only). Added 2026-08-21 (review suggestion b) with only a source_manifest.tsv + no_file_inventory_disposition.tsv, no actual file inventory yet. Phase 1 source-verified 2026-08-21 (see reports/P0_SOURCE_VERIFICATION.md); status stays CANDIDATE.
CPTAC_COAD	D	SUPPLEMENT	protein_endpoint	after_shortlist_named_uncertainty	ANY	6	Primary colon cancer proteogenomics; candidate-specific orthogonal check and RNA-to-protein calibration background only, not metastatic/refractory. Publication verified 2026-08-21 (Vasaikar et al., Cell 2019, PMID 31031003); exact PDC repository identity, case count, and file inventory remain deferred -- PDC portal is a JS SPA not fetchable in this pass. Status stays CANDIDATE.
HPA_normal_tissue	E	CORE_ACTIVE	normal_tissue_risk	every_target	ANY	1	45 normal tissues IHC + RNA/MS + ~76 annotated cell types; mandatory first normal-tissue triage for every candidate target.
GTEx_normal_tissue	E	REFERENCE_SUPPORT	normal_tissue_risk	every_target	ANY	2	Bulk RNA comparator only, catches normal-organ expression HPA might miss; cannot establish a safety conclusion alone.
CSPA_PXD000589	F	REFERENCE_CORE	delivery_proof	reference_annotation_only	ANY	1	Cell Surface Protein Atlas: experimental cell-surface capture mass spec, used for surfaceome annotation/filter (delivery/surface-accessibility reference), not mCRC tumor prevalence. Reclassified from Module B to Module F on 2026-08-21 (web-ChatGPT review suggestion a): it carries no mCRC patient prevalence information, so it does not belong in MCRC_TARGET_PREVALENCE. Old, limited cell-type/context coverage. Phase 1 source-verified 2026-08-21 (see reports/P0_SOURCE_VERIFICATION.md); status stays CANDIDATE.
GSE224235	NONE	SUPPLEMENT_FROZEN	none	never_default	NA	NA	Not in new Core list; generic spatial nCounter comparator, superseded by Module B/C scRNA cohorts. Also failed full state-validation gate under the archived phase2 track (reports/GSE224235_VALIDATION_AUDIT.md in archive).
GSE226997	NONE	SUPPLEMENT_FROZEN	none	never_default	NA	NA	Primary-only Visium spatial, reference-only comparator; not in new Core list.
GSE260797	NONE	SUPPLEMENT_FROZEN	none	never_default	NA	NA	Unverified generic CRC single-cell/spatial subseries; activate only for a specific target question.
GSE260798	NONE	SUPPLEMENT_FROZEN	none	never_default	NA	NA	Unverified generic CRC single-cell/spatial subseries; activate only for a specific target question.
GSE260799	NONE	SUPPLEMENT_FROZEN	none	never_default	NA	NA	Unverified generic CRC single-cell/spatial subseries; activate only for a specific target question.
GSE260800	NONE	SUPPLEMENT_FROZEN	none	never_default	NA	NA	Unverified generic CRC single-cell/spatial subseries; activate only for a specific target question.
DepMap_26Q1	NONE	SUPPLEMENT_FROZEN	functional_dependency	after_shortlist_named_uncertainty	NA	NA	Explicit architecture-doc freeze: CRISPR dependency/expression. Activate only per-target after shortlist for a named mechanistic question (e.g. payload-sensitivity), never as default prevalence/ranking evidence. datasets.tsv priority=P0_DOWNLOAD is retained as legacy Phase 1 download-priority metadata only (see CONTRIBUTING.md); it is not an activation signal.
CRC_organoid_CRISPR_dependency	NONE	SUPPLEMENT_FROZEN	functional_dependency	never_default	NA	NA	Mouse organoid CRISPR screens, reference-only; not the intended patient-derived human dependency cohort; not in new Core list.
CRC_Perturb_seq	NONE	SUPPLEMENT_FROZEN	functional_dependency	after_shortlist_named_uncertainty	NA	NA	Explicit architecture-doc freeze: cell-line Perturb-seq. Activate only per-target after shortlist for a named mechanistic question.
CRLM_NMP_ATLAS	NONE	SUPPLEMENT_FROZEN	none	never_default	NA	NA	Not in new Core list; ex-vivo perfusion context is not part of the Module B-F pipeline. Was the basis of the archived phase2 fetal-state validation track (see archive/phase2_fetal_state_track_v1).
HTAN_CRC_progressive_plasticity	NONE	SUPPLEMENT_FROZEN	none	never_default	NA	NA	Explicit architecture-doc freeze: HTAN plasticity atlas. Was the basis of the archived phase2 fetal-state validation track.
GSE159216	NONE	SUPPLEMENT_FROZEN	none	never_default	NA	NA	Generic CRLM bulk microarray comparator; superseded for Module C by GSE274551 / GSE196576.
Zenodo_CRC_LM_scRNA	NONE	SUPPLEMENT_FROZEN	none	never_default	NA	NA	Registry-noted alias/mirror of CRLM_NMP_ATLAS; same freeze rationale, not independent evidence.
GSE117548	NONE	SUPPLEMENT_FROZEN	none	never_default	NA	NA	Explicit architecture-doc freeze: organoid multi-compound drug-screen expression array; generic pathway/dependency discovery.
